"Kanton","Monat","September 2017","Gesamt"
"Zürich",,"3.3","3.3"
"Bern",,"2.4","2.4"
"Luzern",,"1.7","1.7"
"Uri",,"0.6","0.6"
"Schwyz",,"1.7","1.7"
"Obwalden",,"0.7","0.7"
"Nidwalden",,"1","1"
"Glarus",,"1.8","1.8"
"Zug",,"2.3","2.3"
"Freiburg",,"2.7","2.7"
"Solothurn",,"2.6","2.6"
"Basel-Stadt",,"3.5","3.5"
"Basel-Landschaft",,"2.8","2.8"
"Schaffhausen",,"3","3"
"Appenzell Ausserrhoden",,"1.7","1.7"
"Appenzell Innerrhoden",,"0.7","0.7"
"St. Gallen",,"2.2","2.2"
"Graubünden",,"1.1","1.1"
"Aargau",,"2.9","2.9"
"Thurgau",,"2","2"
"Tessin",,"3.1","3.1"
"Waadt",,"4.3","4.3"
"Wallis",,"2.8","2.8"
"Neuenburg",,"5.1","5.1"
"Genf",,"5.2","5.2"
"Jura",,"4.4","4.4"
